Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469916000.0 4.42 NA 25 192 0 NA NA NA NA 68 257 0 NA NA NA NA 75 7215 757 NA NA NA NA 106 7320 767 NA NA NA
1469916000.0 4.43 NA 24 188 0 NA NA NA NA 69 249 0 NA NA NA NA 133 5990 1121 NA NA NA NA 158 6077 1152 NA NA NA
1469916000.0 4.44 NA 28 192 0 NA NA NA NA 67 248 0 NA NA NA NA 149 7719 1074 NA NA NA NA 222 8013 1103 NA NA NA
1469916000.0 4.45 NA 25 196 0 NA NA NA NA 68 256 0 NA NA NA NA 168 11822 1073 NA NA NA NA 286 12051 1093 NA NA NA
1469916000.0 4.51 NA 26 199 0 NA NA NA NA 68 258 0 NA NA NA NA 157 9836 1032 NA NA NA NA 252 10089 1051 NA NA NA
1469916000.0 4.52 NA 22 192 0 NA NA NA NA 68 259 0 NA NA NA NA 79 8150 659 NA NA NA NA 101 8286 667 NA NA NA
1469916000.0 4.53 NA 22 191 0 NA NA NA NA 68 254 0 NA NA NA NA 89 7298 658 NA NA NA NA 106 7372 668 NA NA NA
1469916000.0 4.54 NA 21 195 0 NA NA NA NA 68 258 0 NA NA NA NA 92 7545 619 NA NA NA NA 117 7614 650 NA NA NA
1469916000.0 4.55 NA 20 192 0 NA NA NA NA 67 257 0 NA NA NA NA 98 8185 537 NA NA NA NA 132 8248 545 NA NA NA
1469916000.0 4.57 NA 41 197 0 NA NA NA NA 86 269 0 NA NA NA NA 112 8885 511 NA NA NA NA 143 8969 520 NA NA NA
1469916000.0 4.58 NA 31 190 0 NA NA NA NA 69 253 0 NA NA NA NA 211 8705 1156 NA NA NA NA 243 9243 1214 NA NA NA
1469916000.0 4.6 NA 151 0 NA NA NA NA NA 210 0 NA NA NA NA NA 2620 534 NA NA NA NA NA 3065 597 NA NA NA NA
1469916000.0 4.61 NA 25 195 0 NA NA NA NA 68 259 0 NA NA NA NA 159 11916 1064 NA NA NA NA 200 12253 1088 NA NA NA
1469916000.0 4.62 NA 26 195 0 NA NA NA NA 68 257 0 NA NA NA NA 156 11722 1036 NA NA NA NA 188 14030 1174 NA NA NA
1469916000.0 4.63 NA 23 191 0 NA NA NA NA 67 257 0 NA NA NA NA 92 7816 649 NA NA NA NA 133 7905 657 NA NA NA
1469916000.0 4.64 NA 20 192 0 NA NA NA NA 67 258 0 NA NA NA NA 101 8167 546 NA NA NA NA 116 8309 552 NA NA NA
1469916000.0 4.65 NA 25 199 0 NA NA NA NA 68 266 0 NA NA NA NA 81 10268 513 NA NA NA NA 118 10479 520 NA NA NA
1469916000.0 4.67 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
